Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
3.38E-15,1.35E-06,-0.006461234,0.017797923
1.13E-15,4.52E-07,0.06581218,0.05858773
1.55E-15,6.22E-07,0.000658717,0.018290687
1.09E-15,4.38E-07,-0.016095063,0.027992562
4.16E-16,1.66E-07,-0.033502698,0.041074809
3.52E-16,1.41E-07,-0.006170274,0.056130254
1.52E-16,6.08E-08,-0.003188591,0.074450988
1.63E-16,6.51E-08,0.005832155,0.052325829
6.31E-17,2.53E-08,-0.022264526,0.110169476
2.55E-17,1.02E-08,-0.007670123,0.272795445
2.54E-17,1.02E-08,0.076713269,0.738591812
2.09E-17,8.38E-09,-0.040159354,1.166630701
3.09E-17,1.24E-08,0.178078553,0.681376262
7.52E-18,3.01E-09,-0.357968658,2.601421606
8.03E-18,3.21E-09,0.147115957,3.163839296
1.86E-20,7.44E-12,0.2193831,3.378777408
2.64E-15,1.05E-06,0.002205924,0.053953972
1.51E-15,6.02E-07,-0.0040935,0.020768308
9.23E-16,3.69E-07,-0.019497075,0.030770653
4.33E-16,1.73E-07,0.0154232,0.029411603
1.65E-16,6.62E-08,0.075834733,0.092655294
2.33E-16,9.33E-08,0.010676613,0.035294722
1.38E-16,5.52E-08,-0.006384766,0.071609535
5.75E-17,2.30E-08,-0.003458966,0.1224469
3.22E-17,1.29E-08,0.034258169,0.402593692
2.63E-17,1.05E-08,0.061619311,0.499036866
2.60E-17,1.04E-08,0.075543003,0.646013215
2.96E-17,1.19E-08,-0.00226536,0.874004911
1.11E-17,4.42E-09,-0.06286705,2.028808244
8.67E-18,3.47E-09,0.015247877,3.772847382
3.95E-19,1.58E-10,-0.799301067,7.011818467
2.06E-15,8.25E-07,0.049679528,0.034770969
2.10E-15,8.41E-07,0.000289575,0.017197616
1.04E-15,4.15E-07,-0.008746691,0.021553407
3.48E-16,1.39E-07,-0.031001581,0.042374993
2.26E-16,9.03E-08,0.203630685,0.187436885
1.10E-16,4.39E-08,-0.005192216,0.070664278
9.18E-17,3.67E-08,-0.012958108,0.072595512
5.50E-17,2.20E-08,-0.017042512,0.155721641
3.91E-17,1.56E-08,0.037289211,0.229195101
2.90E-17,1.16E-08,0.002023961,0.358598669
2.66E-17,1.07E-08,0.072444117,0.630480539
1.31E-17,5.24E-09,0.260723882,1.221423112
8.96E-18,3.58E-09,-0.624157866,3.767067013
