Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Timecode
347.0497999999997,0.988,0.27,3.3545260012265654,2021-11-27_005640
781.6116785714305,0.988,0.42,8.205408220645912,2021-11-27_031757
924.9261571428564,0.988,0.27,3.990618232660943,2021-11-27_043730
828.0302071428542,0.988,0.35,3.0876389433003815,2021-11-27_051048
88.21728571428523,0.988,0.17,3.8147532002532367,2021-11-27_064547
47.44564285714146,0.988,0.18,4.662281563922482,2021-11-27_071852
120.14917857142838,0.988,0.1,3.8314561647426464,2021-11-27_075200
154.76287857142987,0.988,0.1,4.45143359963448,2021-11-27_084020
42.69002142857124,0.988,0.13,4.227564240366334,2021-11-27_091951
220.4487714285681,0.988,0.11,3.952917614962524,2021-11-27_095806
-25.298471428570725,0.988,0.14,4.394699212505507,2021-11-27_105702
-15.91426428571409,0.988,0.14,4.305610025081666,2021-11-27_115046
2729.7495857142844,0.988,0.47,6.5730262406622835,2021-11-27_171514
670.2246071428555,0.988,0.56,4.157399319337881,2021-11-27_175333
913.4629071428561,0.988,0.27,5.605961289438612,2021-11-27_190238
450.3099500000003,0.988,0.32,3.714355837580633,2021-11-27_193532
73.38029285714164,0.988,0.06,3.424465021598733,2021-11-27_203427
837.077499999999,0.988,0.3,4.542036625428757,2021-11-27_211245
217.95925000000094,0.988,0.16,3.7098988189710425,2021-11-27_220146
546.0259000000009,0.988,0.24,6.016448016959437,2021-11-27_223950
120.10760000000062,0.988,0.14,3.9406034816185964,2021-11-27_232326
-79.92731428571456,0.988,0.11,3.4271413145861938,2021-11-28_000706
169.19929285714204,0.988,0.17,4.177343374786328,2021-11-28_005555
128.55124999999944,0.988,0.18,4.087119294888261,2021-11-28_012853
221.42452142857087,0.988,0.07,3.799401756764567,2021-11-28_020201
76.44063571428622,0.988,0.18,7.846449247629176,2021-11-28_025557
88.23325000000024,0.988,0.15,3.633437274116967,2021-11-28_032948
101.23639999999976,0.988,0.12,4.360661272143469,2021-11-28_043859
77.95536428571269,0.988,0.12,4.138969060317055,2021-11-28_052739
244.11411428571483,0.988,0.16,3.945659712442088,2021-11-28_233250
170.0273499999976,0.988,0.1,2.8529526699934395,2021-11-29_010254
175.45057142857246,0.988,0.11,3.8201786987795168,2021-11-29_124256
368.4494500000021,0.988,0.18,8.428118246132431,2021-11-29_131615
179.42419285714317,0.988,0.12,4.147816476694089,2021-11-29_144106
632.4084999999998,0.988,0.08,3.69878724710433,2021-11-30_041323
1304.0752142857145,0.988,0.29,10.0937073815614,2021-11-30_144355
686.6108142857138,0.988,0.07,4.581277032793944,2021-11-30_215123
312.764385714286,0.988,0.75,3.173874513291687,2021-12-01_111204
173.84005714285718,0.988,0.13,3.7065933653972754,2021-12-01_114538
626.1621214285719,0.988,0.51,4.430712672881127,2021-12-01_121859
456.5013285714287,0.988,0.78,3.5503714099476045,2021-12-01_125214
508.1901428571419,0.988,0.95,3.8952710007555646,2021-12-01_132525
94.85343571428596,0.988,0.79,3.3258392776287042,2021-12-01_135844
-12.434928571427937,0.988,0.42,3.464631485452214,2021-12-01_143158
8.4204357142859,0.988,0.07,3.326509651527658,2021-12-01_150513
1138.8620428571433,0.988,0.91,3.504831445146094,2021-12-01_161849
735.7795142857129,0.988,0.81,4.138327500578218,2021-12-01_165714
-227.73228571428422,0.988,0.11,3.205206673023346,2021-12-01_173101
381.11835714285974,0.988,0.64,3.2832362723917967,2021-12-01_185106
866.9494357142838,0.988,0.94,3.3804290337669016,2021-12-01_192939
-189.1239642857144,0.988,0.11,3.218494598521882,2021-12-01_200311
501.3478071428571,0.988,0.5,6.676302482101402,2021-12-01_205211
492.3341214285722,0.988,0.41,4.963233461990147,2021-12-01_212533
299.02077857142837,0.988,0.63,3.200575594871958,2021-12-01_215901
1745.3758357142838,0.988,0.91,7.115360164954789,2021-12-01_225809
1396.048728571427,0.988,0.99,3.1796449613391915,2021-12-01_233205
391.0259142857135,0.988,0.91,3.0845647704586923,2021-12-02_000509
647.5819857142866,0.988,0.44,6.8837260507694475,2021-12-02_005855
143.22278571428302,0.988,0.61,3.8514613913510654,2021-12-02_013728
-77.95751428571498,0.988,0.11,3.2014703726215843,2021-12-02_021053
170.39990714285634,0.988,0.27,6.738408015837814,2021-12-02_025950
2497.666414285714,0.988,0.99,3.5354015624532624,2021-12-02_033813
-858.120757142855,0.988,0.11,3.2258625988127685,2021-12-02_041121
685.8849142857138,0.988,0.68,6.27302233821246,2021-12-02_045459
496.1646928571438,0.988,0.85,3.2286712856832844,2021-12-02_052818
333.70955000000055,0.988,0.65,3.240986868927455,2021-12-02_060142
332.51536428571535,0.988,0.23,4.095323666271788,2021-12-02_063450
259.8669499999984,0.988,0.25,5.093328025958135,2021-12-02_070802
57.621578571427975,0.988,0.43,5.603122431232519,2021-12-02_074127
53.39854285714436,0.988,0.38,3.3109899390434836,2021-12-02_081457
826.668385714286,0.988,0.84,4.6858825705099525,2021-12-02_090911
1192.2742642857158,0.988,0.93,3.5605408751577143,2021-12-02_094219
321.11879999999866,0.988,0.65,3.172062612034604,2021-12-02_101533
1024.3764142857133,0.988,0.91,3.314543977384717,2021-12-02_104951
30.21535714285735,0.988,0.33,3.3951554278902565,2021-12-02_112319
237.72624999999886,0.988,0.58,3.7549709125951343,2021-12-02_115633
757.4279714285726,0.988,0.84,9.1527043050879,2021-12-02_123007
122.9580642857127,0.988,0.35,3.255489449822766,2021-12-02_130318
199.51043571428553,0.988,0.31,5.695076002291236,2021-12-02_133638
-230.22408571428542,0.988,0.11,3.477920885603826,2021-12-02_140951
222.77491428571324,0.988,0.15,3.840640997236002,2021-12-02_145324
1771.0746785714302,0.988,0.98,24.507731129068443,2021-12-02_153118
1600.738414285713,0.988,1.0,3.6805446261708186,2021-12-02_160421
851.0510500000005,0.988,0.89,3.7248555930462506,2021-12-02_163736
922.0782214285687,0.988,0.99,3.6430805894987164,2021-12-02_171102
520.754585714288,0.988,0.82,2.794016950739893,2021-12-02_174437
559.477571428573,0.988,0.81,3.337001517699447,2021-12-02_181754
265.9123571428539,0.988,0.59,3.246514025114996,2021-12-02_185057
65.56618571428507,0.988,0.47,3.957112762489331,2021-12-02_192412
-186.82177142857165,0.988,0.11,3.3987879650312256,2021-12-02_195721
533.8576857142856,0.988,0.47,4.071586335715238,2021-12-02_204101
160.09707857142948,0.988,0.23,3.641435621530978,2021-12-02_211404
1675.723592857146,0.988,0.98,3.367427237672128,2021-12-02_215743
968.5696857142852,0.988,0.97,3.7134371097539884,2021-12-02_223053
1011.085314285713,0.988,0.96,3.357896989121005,2021-12-02_230406
572.8065357142823,0.988,0.89,3.147090390734372,2021-12-02_233832
426.78154285714277,0.988,0.92,2.4026780296656227,2021-12-03_001219
-546.4148142857163,0.988,0.11,3.3807626394737174,2021-12-03_004529
372.8001928571437,0.988,0.34,11.346905607792149,2021-12-03_012935
51.64458571428564,0.988,0.49,3.2817268059788463,2021-12-03_020337
61.917771428569246,0.988,0.45,3.4534025566117306,2021-12-03_023651
97.4161857142867,0.988,0.15,3.285931862894292,2021-12-03_031030
236.04850714285678,0.988,0.18,4.2606073076297974,2021-12-03_034411
-160.13387142857187,0.988,0.11,4.4282888122459765,2021-12-03_041734
2242.390171428571,0.988,0.97,3.3729580911615407,2021-12-03_045611
627.6404071428557,0.988,0.91,3.6353344523533733,2021-12-03_054442
477.72324285714154,0.988,0.92,6.135293300873436,2021-12-03_062312
228.21882142857,0.988,0.8,3.2191801639942894,2021-12-03_065624
449.67253571428506,0.988,0.4,6.270173685427351,2021-12-03_073954
-164.06860000000074,0.988,0.11,3.811074725528594,2021-12-03_081304
31.988928571430332,0.988,0.33,3.481622956790128,2021-12-03_084612
266.95719999999994,0.988,0.12,3.4485846052657942,2021-12-03_091917
