Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Difference Distribution Mean,Timecode
347.0498,0.988,0.27,3.354526001,7.814765857,2021-11-27_005640
781.6116786,0.988,0.42,8.205408221,30.96993511,2021-11-27_031757
924.9261571,0.988,0.27,3.990618233,22.53899134,2021-11-27_043730
828.0302071,0.988,0.35,3.087638943,-20.04968076,2021-11-27_051048
88.21728571,0.988,0.17,3.8147532,12.55519403,2021-11-27_064547
47.44564286,0.988,0.18,4.662281564,12.98000214,2021-11-27_071852
120.1491786,0.988,0.1,3.831456165,9.074330968,2021-11-27_075200
154.7628786,0.988,0.1,4.4514336,13.5757141,2021-11-27_084020
42.69002143,0.988,0.13,4.22756424,10.88818966,2021-11-27_091951
220.4487714,0.988,0.11,3.952917615,8.262129538,2021-11-27_095806
2729.749586,0.988,0.47,6.573026241,34.26682067,2021-11-27_171514
670.2246071,0.988,0.56,4.157399319,-15.10095476,2021-11-27_175333
913.4629071,0.988,0.27,5.605961289,-6.43227454,2021-11-27_190238
450.30995,0.988,0.32,3.714355838,12.46699318,2021-11-27_193532
73.38029286,0.988,0.06,3.424465022,7.647962155,2021-11-27_203427
837.0775,0.988,0.3,4.542036625,19.30026727,2021-11-27_211245
217.95925,0.988,0.16,3.709898819,14.90474626,2021-11-27_220146
546.0259,0.988,0.24,6.016448017,30.9653025,2021-11-27_223950
120.1076,0.988,0.14,3.940603482,9.841841861,2021-11-27_232326
169.1992929,0.988,0.17,4.177343375,22.61590975,2021-11-28_005555
128.55125,0.988,0.18,4.087119295,19.15375695,2021-11-28_012853
221.4245214,0.988,0.07,3.799401757,6.301574374,2021-11-28_020201
76.44063571,0.988,0.18,7.846449248,8.19496516,2021-11-28_025557
88.23325,0.988,0.15,3.633437274,14.75290408,2021-11-28_032948
101.2364,0.988,0.12,4.360661272,20.01251359,2021-11-28_043859
77.95536429,0.988,0.12,4.13896906,11.27943628,2021-11-28_052739
