Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
1.68E-15,1.68E-07,-0.001892748,0.258475743
1.53E-15,1.53E-07,0.009675407,0.163742245
3.27E-15,3.27E-07,0.021305672,0.081508074
1.78E-15,1.78E-07,0.02113733,0.219816246
1.74E-15,1.74E-07,-0.044021216,0.137426302
1.59E-15,1.59E-07,-0.007908628,0.191492752
1.33E-15,1.33E-07,-0.063008199,0.172184788
1.89E-15,1.89E-07,-0.011159834,0.143972271
1.59E-15,1.59E-07,-0.097603906,0.298946529
1.59E-15,1.59E-07,-0.077987066,0.211255348
1.90E-15,1.90E-07,-0.03835073,0.144184702
1.78E-15,1.78E-07,-0.097187482,1.208926091
1.05E-15,1.05E-07,-0.009610675,0.209953859
1.39E-15,1.39E-07,0.091413757,0.563488242
1.30E-15,1.30E-07,0.075370813,0.354847954
1.08E-15,1.08E-07,-0.111370819,0.527392704
8.99E-16,8.99E-08,-0.036071069,0.313115995
1.45E-15,1.45E-07,0.073313752,0.498501897
1.30E-15,1.30E-07,-0.025489279,0.420487121
1.29E-15,1.29E-07,-0.091443316,0.606410569
1.95E-15,1.95E-07,-0.147703316,0.650449987
1.11E-15,1.11E-07,-0.091993787,0.319402517
1.29E-15,1.29E-07,-0.07938238,1.063978554
8.97E-16,8.97E-08,-0.051406496,16.97382446
8.42E-16,8.42E-08,0.422508457,1.940912346
6.33E-16,6.33E-08,0.369927256,6.634184239
2.29E-17,2.29E-09,0.25686845,14.94287627
1.34E-15,1.34E-07,0.000221211,1.015694633
9.98E-16,9.98E-08,-0.07331993,0.720117561
7.45E-16,7.45E-08,-0.518781689,5.5000283
1.80E-15,1.80E-07,0.076756218,0.974735576
1.32E-15,1.32E-07,0.001230058,0.660738836
1.78E-17,1.78E-09,0.14526444,2.019423631
8.25E-17,8.25E-09,-0.876153687,7.055351854
8.33E-16,8.33E-08,1.049125301,1.709914936
1.10E-15,1.10E-07,-0.538243825,1.354137381
2.09E-19,2.09E-11,-7.515118312,90.62166412
9.10E-16,9.10E-08,-0.541712226,2.746639696
2.06E-17,2.06E-09,0.259201836,2.103913576
2.36E-18,2.36E-10,0.833915193,2.62438044
1.99E-16,1.99E-08,0.322906509,1.984771205
9.55E-16,9.55E-08,0.015454486,2.36930626
1.15E-15,1.15E-07,-1.096498323,5.337542234
1.18E-15,1.18E-07,0.195258192,1.047465371
1.06E-15,1.06E-07,-0.002918368,1.505731311
5.87E-16,5.87E-08,-0.12989384,2.070946119
2.68E-15,2.68E-07,-0.887252794,2.568685217
2.55E-16,2.55E-08,0.537664227,6.267963622
1.01E-14,1.01E-06,0.018709063,0.039080861
6.31E-15,6.31E-07,-0.03900364,0.060280463
8.57E-15,8.57E-07,-0.006674911,0.038037919
5.20E-15,5.20E-07,-0.044327321,0.071015771
1.69E-14,1.69E-06,-0.011721639,0.031112445
3.91E-15,3.91E-07,-0.084739804,0.087260445
