Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
6.05E-13,4.69E-07,-0.054307159,0.05197932
8.36E-13,6.48E-07,0.037575279,0.037647159
8.82E-13,6.84E-07,0.020068911,0.022434846
8.46E-13,6.56E-07,-0.000325805,0.017590385
6.11E-13,4.74E-07,-0.011225262,0.02011695
5.97E-13,4.62E-07,0.015012995,0.021431716
6.50E-13,5.04E-07,0.030852438,0.029053402
7.57E-13,5.86E-07,0.017930385,0.023223566
9.09E-13,7.05E-07,0.032014471,0.030167281
9.32E-13,7.22E-07,0.018715446,0.020005459
7.46E-13,5.78E-07,0.007730683,0.019269252
7.67E-13,5.94E-07,0.011343814,0.017041387
6.52E-13,5.05E-07,0.005596438,0.016666953
6.61E-13,5.12E-07,0.025042669,0.025513089
6.69E-13,5.18E-07,0.014747675,0.022065122
6.06E-13,4.69E-07,-0.004734068,0.01717986
3.90E-13,3.02E-07,-0.039417458,0.044765827
7.36E-13,5.71E-07,0.06822148,0.057463746
6.95E-13,5.39E-07,0.021790031,0.025216313
7.35E-13,5.70E-07,0.018700737,0.021496718
5.78E-13,4.48E-07,0.011237459,0.065583408
5.75E-13,4.46E-07,0.002486396,0.018030902
6.04E-13,4.68E-07,0.017157917,0.018216999
5.75E-13,4.45E-07,0.017933653,0.021673879
5.49E-13,4.26E-07,0.007854486,0.017042618
4.47E-13,3.47E-07,0.01132996,0.019030826
4.78E-13,3.70E-07,0.010697816,0.021424003
4.37E-13,3.39E-07,0.01665175,0.023559789
4.62E-13,3.58E-07,0.02116349,0.0251436
4.65E-13,3.60E-07,0.001812523,0.019327269
4.68E-13,3.62E-07,0.021994018,0.02487545
4.74E-13,3.68E-07,0.027524576,0.027735891
5.12E-13,3.97E-07,0.015377056,0.019242668
5.00E-13,3.87E-07,0.021644193,0.02299257
4.69E-13,3.63E-07,0.015127242,0.022200676
5.10E-13,3.95E-07,0.029449684,0.022929992
2.76E-13,2.14E-07,-0.034157094,0.067339544
3.49E-13,2.70E-07,0.037201091,0.039677495
3.59E-13,2.78E-07,0.023700008,0.028156435
3.48E-13,2.70E-07,0.002403513,0.062402222
2.79E-13,2.16E-07,0.002113754,0.057470306
2.12E-13,1.64E-07,-0.014174392,0.021981348
2.47E-13,1.92E-07,0.018159095,0.066590347
2.56E-13,1.98E-07,0.017219536,0.027299406
2.76E-13,2.14E-07,0.020243818,0.024853524
3.03E-13,2.35E-07,0.01604609,0.022745975
3.73E-13,2.89E-07,0.019804607,0.023238674
3.44E-13,2.67E-07,0.028793149,0.027761357
3.48E-13,2.70E-07,0.014040105,0.066918033
3.00E-13,2.32E-07,0.010239946,0.021457642
3.07E-13,2.38E-07,0.001855276,0.058561297
2.50E-13,1.94E-07,0.002511274,0.021935509
2.86E-13,2.22E-07,0.002075989,0.018659033
2.62E-13,2.03E-07,0.015377809,0.022379508
2.81E-13,2.18E-07,0.01348678,0.01798922
2.01E-13,1.55E-07,0.013487082,0.028312232
2.21E-13,1.72E-07,0.004242584,0.024668208
2.16E-13,1.67E-07,0.010666387,0.022858853
2.24E-13,1.73E-07,0.018406639,0.023224917
1.47E-13,1.14E-07,-0.039811109,0.035414355
2.77E-13,2.15E-07,0.051756825,0.041700542
2.43E-13,1.88E-07,1.80E-05,0.020601806
2.32E-13,1.80E-07,0.015819023,0.022542389
2.20E-13,1.70E-07,0.018851456,0.024613478
2.08E-13,1.61E-07,0.009688052,0.022668146
1.73E-13,1.34E-07,0.005344467,0.026502602
2.08E-13,1.61E-07,0.023588044,0.025605364
1.61E-13,1.25E-07,-0.00782468,0.02453328
2.24E-13,1.73E-07,0.008645822,0.022757459
1.80E-13,1.40E-07,0.012453942,0.0309153
1.92E-13,1.49E-07,0.022295753,0.040627083
1.25E-13,9.69E-08,-0.042513171,0.086011603
1.62E-13,1.26E-07,0.05285637,0.058954339
1.34E-13,1.04E-07,-0.027543481,0.055985334
1.31E-13,1.02E-07,0.001782085,0.022863523
1.24E-13,9.58E-08,0.030473336,0.052151719
1.58E-13,1.22E-07,0.026183381,0.03576153
1.74E-13,1.35E-07,0.014704968,0.02887667
1.48E-13,1.15E-07,-0.01491646,0.023638513
1.47E-13,1.14E-07,-0.003440277,0.02299811
1.64E-13,1.27E-07,0.009495197,0.029037315
1.76E-13,1.36E-07,0.013198973,0.06688421
1.39E-13,1.08E-07,0.010929435,0.026386572
1.39E-13,1.08E-07,0.009999312,0.0246211
1.18E-13,9.12E-08,0.000268043,0.030735099
9.81E-14,7.60E-08,0.003808028,0.030908419
1.23E-13,9.57E-08,0.013355252,0.03572212
1.34E-13,1.04E-07,0.005443573,0.026389909
1.07E-13,8.28E-08,-0.005023197,0.029131924
1.03E-13,8.02E-08,0.007782792,0.030074096
9.66E-14,7.49E-08,0.013385733,0.035714185
7.51E-14,5.82E-08,-0.041460452,0.043408517
9.35E-14,7.25E-08,0.005104643,0.058365615
9.37E-14,7.26E-08,-0.020604893,0.033236175
1.05E-13,8.15E-08,-0.008308077,0.027558809
8.14E-14,6.31E-08,0.001639381,0.073571097
9.74E-14,7.55E-08,0.00360738,0.032492463
9.90E-14,7.67E-08,0.026507036,0.037614424
1.02E-13,7.89E-08,0.029287774,0.044297038
1.07E-13,8.32E-08,0.006505585,0.041115447
8.74E-14,6.77E-08,0.006948726,0.07078227
1.11E-13,8.59E-08,0.021016778,0.02943825
1.05E-13,8.14E-08,0.014505927,0.062625596
6.19E-14,4.80E-08,-0.033539937,0.046179838
9.82E-14,7.61E-08,0.069520225,0.082884777
6.09E-14,4.72E-08,-0.039356827,0.045643745
